image,name,address_1,address_2,phone_number,website,rating,reviews_count,image_source
,Hadfields Transport,Hadfields Transport Ltd,Manchester,+44 161 277 9888,http://www.hadfieldstransport.com/,4.5,98,https://lh5.googleusercontent.com/p/AF1QipOiYAVMgRRcZz7FrUuhtnQpbj0OooAuvFHn4Urq
,Morrisons,49 Swinton Hall Rd,Swinton,+44 161 728 4448,https://my.morrisons.com/storefinder/217,4.1,1810,https://lh5.googleusercontent.com/p/AF1QipMt_cgOazNM-Y3vppiATKR78EihtXU3UYxeTiH3
,Tesco Extra,Pendleton Wy.,Salford,+44 345 671 9561,https://www.tesco.com/store-locator/salford/pendleton-way?sc_cmp=ref*yg*stc*6646&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,3.8,720,https://lh5.googleusercontent.com/p/AF1QipMky2_gs4uWiiU_fB1J_IA4mdrwe_ZFXS8LD1cI
,Tesco Extra,Ellesmere Shopping Centre,Bolton Rd,+44 345 026 9673,https://www.tesco.com/store-locator/walkden/ellesmere-shopping-centre?sc_cmp=ref*yg*stc*6017&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,586,https://lh5.googleusercontent.com/p/AF1QipNVQKjcexSGcw9e7K2xDnlFaLzMRM1rEtzGdD3h
,B&M Home Store with Garden Centre,Stockport Rd,Cheadle Heath,+44 330 838 9518,https://www.bmstores.co.uk/stores/stockport-cheadle-heath-518,4.3,1472,https://lh5.googleusercontent.com/p/AF1QipOdn3wCKEJoNib3Be6Z2Y_-rm2C_dmLNljHe6NC
,Tesco Extra,Fairhills Industrial Estate,Woodrow Way,+44 345 677 9381,https://www.tesco.com/store-locator/manchester/woodrow-way-fairhills-industrial-estate?sc_cmp=ref*yg*stc*2744&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,3.8,277,https://lh5.googleusercontent.com/p/AF1QipMyhRlwtYcI5jRdDCwiJAunhSKVkjUKMHharwZ7
,Rivington Services M61,M61,Horwich,+44 1204 356565,,3.9,4599,https://lh5.googleusercontent.com/p/AF1QipMQ0Z4cb1Yp7RePCCFRO6ypn9fBZIiexQQPrez6
,Morrisons,94 Foundry St,Dukinfield,+44 161 308 2606,https://my.morrisons.com/storefinder/37,4.1,2065,https://lh5.googleusercontent.com/p/AF1QipNhpcFYhD464hnm2iJF6zQ2zhpmdSJs5EciGbco
,Kwik Fit - Stretford,713 Chester Rd,"Old Trafford, Stretford",+44 161 872 2596,https://www.kwik-fit.com/locate-a-centre/stretford-chester-road?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=stretford-chester-road&utm_content=website-button,3.8,363,https://lh5.googleusercontent.com/p/AF1QipNPeU320NL__1-D2YqQcC42P-7X7iUEira_6GMI
,The Ice Cream Men,,,(716) 239-1525,http://www.theicecreammen.com/,5,2,https://lh5.googleusercontent.com/p/AF1QipNVH-JKqbWid5AruPqH94BsqQQ8RtAxnENNyqt0
,Morrisons,Dawson St,Heywood,+44 1706 360036,https://my.morrisons.com/storefinder/32,4,1825,https://lh5.googleusercontent.com/p/AF1QipNVbXQyuO4aGCe5jgqQNO-3XAR8kPDKkoIEeorM
,Tesco Extra,Tiviot Way,Stockport,+44 345 677 9826,https://www.tesco.com/store-locator/stockport/tiviot-way?sc_cmp=ref*yg*stc*3378&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,836,https://lh5.googleusercontent.com/p/AF1QipPqzCx2ezD5FEsmRKzUEomd90Tw_F0jsUv3fd0Z
,Bark n Bounce,Keepers Cottage,Vicars Hall Ln,+44 7539 786119,http://www.barknbounce.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5000308995938368531,4.9,134,https://lh5.googleusercontent.com/p/AF1QipNupXMPKNXvxrXIAkaE36YSTQ10v_l1ldkJGAcJ
,Truck Haven,Scotland Rd,Warton,+44 1524 736699,http://www.truckhavencarnforth.co.uk/,4.3,1834,https://lh5.googleusercontent.com/p/AF1QipOPcAtYw-Rct8Bqw3AFlv2CXFjs3FPqVg23xrwH
,Sainsbury's,60 Union St,Oldham,+44 161 627 5168,https://stores.sainsburys.co.uk/2063/oldham?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjY3NTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,3979,https://lh5.googleusercontent.com/p/AF1QipPDt1XTTKtSSFGxAXg3ER87Bi12RQaD0imQlHVn
,B&M Store,"Unit 7, Trafford Retail Park",Urmston,+44 330 838 9024,https://www.bmstores.co.uk/stores/urmston-trafford-retail-park-24,4.4,527,https://lh5.googleusercontent.com/p/AF1QipNjZRrQRzKxWo7scUeEXh6Wobt94u6oIcGQMZta
,Sainsbury's,London Road Hazel Grove,Stockport,+44 161 210 5081,https://stores.sainsburys.co.uk/2051/hazel-grove?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjcxMDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,3458,https://lh5.googleusercontent.com/p/AF1QipOfDtaxvMasiHklb1htpsq0z17sCwkg-46qaAP3
,Poundstretcher,"241-245, London Road Hazel Grove",Hazel Grove,+44 161 484 0848,https://www.poundstretcher.co.uk/hazel-grove-164,4,377,https://lh5.googleusercontent.com/p/AF1QipNJZT1XF7kVHCtqFqU5CqRlPNVgJsbaF1D9FOgO
,Home Bargains,40 Stanley Square,Sale,+44 161 976 4993,http://www.home.bargains/,4.4,212,https://lh5.googleusercontent.com/p/AF1QipPBgOcTMzg_zwQ6nt8jINFn81ku4hNiUv7wCEVg
,Tesco Superstore,Featherstall Rd N,Oldham,+44 345 677 9522,https://www.tesco.com/store-locator/oldham/featherstall-road-north?sc_cmp=ref*yg*stc*2992&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,4,365,https://lh5.googleusercontent.com/p/AF1QipNFGY_NUTkz5AmKakAP9SYpSqliVW9i88aZYfVT
,Tesco Extra,Tesco Stores Ltd,Kiln Croft Ln,+44 345 677 9330,https://www.tesco.com/store-locator/wilmslow/tesco-stores-ltd-kiln-croft-lane?sc_cmp=ref*yg*stc*2629&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,422,https://lh5.googleusercontent.com/p/AF1QipPQOgzqyscpy09d5vol_kuQeuyDdbFuuCgwPGFV
,B&M Home Store with Garden Centre,Retail Park,Manchester Rd,+44 330 838 9570,https://www.bmstores.co.uk/stores/hyde-manchester-road-retail-park-570,4.2,1808,https://lh5.googleusercontent.com/p/AF1QipNzSZT-u8gzRT-m1b_5yOZJR4RWb0gpTsRXJdeP
,Poundland,11 The Birtles,"Civic Centre, Wythenshawe",+44 161 478 7341,https://www.poundland.co.uk/store-finder,4.3,404,https://lh5.googleusercontent.com/p/AF1QipOCiFt6ORR8S_ucnxnhZFVoaSeIHG6LkW6JAot_
,Tesco Extra,Manor Rd,Altrincham,+44 345 677 9768,https://www.tesco.com/store-locator/altrincham/manor-road?sc_cmp=ref*yg*stc*2019&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,368,https://lh5.googleusercontent.com/p/AF1QipP4mwMCXMVfl1Fj3k6HPWeItRoO9CDA7i5gq9Y
,Tesco Superstore,Tesco Stores Ltd,Silk St,+44 345 677 9577,https://www.tesco.com/store-locator/rochdale/tesco-stores-ltd?sc_cmp=ref*yg*stc*3101&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,3.7,526,https://lh5.googleusercontent.com/p/AF1QipOfSLSX2C5PVb3DFsL8LTCs0Sq4wnSkkRy3Lwt1
,Designer Outlet Cheshire Oaks,Kinsey Rd,Wirral,+44 151 348 5600,https://outlets.mcarthurglen.com/en/uk/designer-outlet-cheshire-oaks/?utm_source=gmb&utm_medium=organic&utm_campaign=MAG17&y_source=1_Mzk5ODY3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,35509,https://lh5.googleusercontent.com/p/AF1QipMZHWV6851WeQ6XlHOzc_0ZHPJucPyTfsqdVhLd
,Poundland,86 Raven Way,Salford,+44 161 745 8742,https://www.poundland.co.uk/store-finder,4.2,498,https://lh5.googleusercontent.com/p/AF1QipPBgihJF-s47gj-aYHZJN7BNdHXVDJY8_OS1-HC
,Eat New York,64 Oldham St,Manchester,+44 800 689 3896,http://www.eatnewyork.co.uk/,4.5,265,https://lh5.googleusercontent.com/p/AF1QipMeFJNSbZNISYK0_4VdbjQ0Jtq4HP74PLT2tEl-
